"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Mathematics; computer and information sciences",,    1455,,     830,,     625,,  651480,,  420370,,  231110,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    11. Computer and information sciences and support services",,    1040,,     640,,     400,,  514685,,  356435,,  158250,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    25. Library science",,      60,,      15,,      50,,   40820,,    6495,,   34320,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    27. Mathematics and statistics",,     335,,     170,,     160,,   86655,,   50930,,   35725,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30D Interdisciplinary mathematics; computer and information sciences",156,      20,,      10,,      10,,    9325,,    6510,,    2815,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Architecture; engineering; and related technologies",,    4750,,    3750,,    1005,, 3327405,, 3022700,,  304700,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    04. Architecture and related services",,     150,,      95,,      55,,  114315,,   72880,,   41435,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    14. Engineering",,    2840,,    2080,,     760,,  752465,,  615880,,  136585,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    15. Engineering technologies and engineering-related fields",,     700,,     585,,     115,,  620065,,  551855,,   68205,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.12 Historic preservation and conservation",,       0,,       0,,       0,,     410,,      85,,     325,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    46. Construction trades",,     355,,     315,,      40,,  702155,,  682710,,   19445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    47. Mechanic and repair technologies/technicians",,     525,,     500,,      30,,  731135,,  709430,,   21705,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    48. Precision production",,     185,,     175,,       0,,  406855,,  389850,,   17005,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Agriculture; natural resources and conservation",,     275,,     115,,     160,,  339050,,  219040,,  120010,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    01. Agriculture; agriculture operations and related sciences",,     205,,      90,,     115,,  205930,,  127925,,   78005,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    03. Natural resources and conservation",,      70,,      30,,      45,,  133120,,   91115,,   42005,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Health and related fields",,    3705,,     845,,    2855,, 2266720,,  441180,, 1825545,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    31. Parks; recreation; leisure and fitness studies",,     215,,     125,,      90,,  164295,,   81260,,   83040,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    51. Health professions and related programs",,    3370,,     665,,    2710,, 2047680,,  329010,, 1718670,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    60. Dental; medical and veterinary residency programs",,     115,,      60,,      60,,   54740,,   30910,,   23830,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Personal; protective and transportation services",,     840,,     450,,     385,,  995825,,  507200,,  488630,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    12. Personal and culinary services",,     475,,     155,,     325,,  565555,,  151530,,  414025,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    28. Military science; leadership and operational art",,      10,,       0,,       0,,    3505,,    3080,,     420,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    29. Military technologies and applied sciences",,      25,,      25,,       0,,    7900,,    7230,,     670,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    43. Security and protective services",,     125,,      75,,      50,,  206745,,  150540,,   56205,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    49. Transportation and materials moving",,     215,,     195,,      10,,  212125,,  194810,,   17315,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Other",,       0,,       0,,       0,,    3170,,     885,,    2280,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.99 Multidisciplinary/interdisciplinary studies; other",,       0,,       0,,       0,,    3170,,     890,,    2280,
"Major field of study - Classification of Instructional Programs (CIP) 2016","Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data",151,   22385,,   10425,,   11965,,18931385,, 9268555,, 9662825,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  No postsecondary certificate; diploma or degree",152,    5635,,    3070,,    2560,, 6664380,, 3447130,, 3217250,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Education",,    1025,,     160,,     870,,  727515,,  160315,,  567205,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    13. Education",,    1030,,     155,,     870,,  727515,,  160315,,  567200,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Visual and performing arts; and communications technologies",,     600,,     220,,     375,,  467905,,  208365,,  259545,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    10. Communications technologies/technicians and support services",,      70,,      55,,      15,,   74530,,   53995,,   20535,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    50. Visual and performing arts",,     530,,     170,,     365,,  393375,,  154370,,  239005,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Humanities",,     820,,     280,,     535,,  614815,,  232425,,  382390,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    16. Aboriginal and foreign languages; literatures and linguistics",,     175,,      30,,     140,,   76540,,   16200,,   60340,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    23. English language and literature/letters",,     210,,      65,,     145,,  133800,,   38310,,   95485,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    24. Liberal arts and sciences; general studies and humanities",,     145,,      50,,      95,,  191005,,   71770,,  119235,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30A Interdisciplinary humanities",153,       0,,       0,,       0,,    3140,,    1250,,    1895,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    38. Philosophy and religious studies",,      55,,      20,,      35,,   37870,,   21930,,   15940,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    39. Theology and religious vocations",,      90,,      65,,      25,,   52295,,   31200,,   21090,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    54. History",,     100,,      45,,      55,,   82565,,   43475,,   39085,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    55. French language and literature/letters",,      45,,      10,,      40,,   37600,,    8285,,   29315,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Social and behavioural sciences and law",,    1970,,     720,,    1255,, 1417625,,  453100,,  964525,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    05. Area; ethnic; cultural; gender; and group studies",,      40,,       0,,      40,,   20300,,    4595,,   15705,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    09. Communication; journalism and related programs",,     175,,      70,,     105,,  152080,,   56125,,   95955,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    19. Family and consumer sciences/human sciences",,     270,,      20,,     245,,  259845,,   19160,,  240685,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    22. Legal professions and studies",,     450,,     205,,     240,,  241170,,   76720,,  164445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30B Interdisciplinary social and behavioural sciences",154,      30,,      15,,      10,,   27310,,    6390,,   20920,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    42. Psychology",,     245,,      80,,     170,,  218470,,   51570,,  166900,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    45. Social sciences",,     760,,     325,,     430,,  498450,,  238540,,  259915,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Business; management and public administration",,    3300,,    1230,,    2065,, 2696770,, 1000895,, 1695875,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.16 Accounting and computer science",,       0,,       0,,      10,,    4955,,    1480,,    3475,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    44. Public administration and social service professions",,     185,,      55,,     125,,  192190,,   36890,,  155305,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    52. Business; management; marketing and related support services",,    3105,,    1170,,    1930,, 2499625,,  962530,, 1537095,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Physical and life sciences and technologies",,     725,,     305,,     420,,  449870,,  222120,,  227755,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    26. Biological and biomedical sciences",,     295,,      90,,     200,,  195830,,   79945,,  115880,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.01 Biological and physical sciences",,     125,,      30,,      90,,   89205,,   42265,,   46945,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30C Other interdisciplinary physical and life sciences",155,      10,,       0,,       0,,    9280,,    3850,,    5430,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    40. Physical sciences",,     280,,     175,,     100,,  132935,,   87025,,   45905,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    41. Science technologies/technicians",,      20,,       0,,      25,,   22625,,    9035,,   13590,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Mathematics; computer and information sciences",,    1220,,     700,,     520,,  567415,,  368840,,  198575,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    11. Computer and information sciences and support services",,     880,,     545,,     335,,  464000,,  321805,,  142190,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    25. Library science",,      45,,      10,,      35,,   29955,,    4870,,   25080,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    27. Mathematics and statistics",,     270,,     135,,     140,,   65620,,   36895,,   28725,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30D Interdisciplinary mathematics; computer and information sciences",156,      20,,      15,,      10,,    7840,,    5270,,    2575,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Architecture; engineering; and related technologies",,    3400,,    2680,,     720,, 2532555,, 2271735,,  260820,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    04. Architecture and related services",,     105,,      70,,      30,,   93135,,   57280,,   35850,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    14. Engineering",,    2105,,    1530,,     575,,  612265,,  490980,,  121285,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    15. Engineering technologies and engineering-related fields",,     500,,     430,,      70,,  475045,,  418595,,   56450,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.12 Historic preservation and conservation",,       0,,       0,,       0,,     350,,      70,,     275,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    46. Construction trades",,     225,,     210,,      20,,  515630,,  499670,,   15960,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    47. Mechanic and repair technologies/technicians",,     360,,     340,,      20,,  540800,,  523425,,   17375,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    48. Precision production",,     110,,     105,,       0,,  295335,,  281715,,   13620,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Agriculture; natural resources and conservation",,     230,,     100,,     130,,  269445,,  167680,,  101770,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    01. Agriculture; agriculture operations and related sciences",,     165,,      70,,      95,,  159975,,   94680,,   65295,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    03. Natural resources and conservation",,      60,,      30,,      35,,  109470,,   73000,,   36470,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Health and related fields",,    2865,,     615,,    2250,, 1749545,,  342395,, 1407145,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    31. Parks; recreation; leisure and fitness studies",,     145,,      90,,      55,,  129560,,   63315,,   66245,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    51. Health professions and related programs",,    2640,,     485,,    2155,, 1576945,,  256895,, 1320050,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    60. Dental; medical and veterinary residency programs",,      80,,      40,,      35,,   43040,,   22185,,   20860,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Personal; protective and transportation services",,     600,,     335,,     265,,  770950,,  392820,,  378135,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    12. Personal and culinary services",,     320,,     115,,     205,,  431415,,  114395,,  317025,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    28. Military science; leadership and operational art",,      10,,      10,,       0,,    2725,,    2355,,     375,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    29. Military technologies and applied sciences",,      10,,      10,,       0,,    4425,,    3975,,     445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    43. Security and protective services",,     110,,      65,,      50,,  162995,,  116750,,   46240,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    49. Transportation and materials moving",,     165,,     155,,      10,,  169400,,  155340,,   14050,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Other",,       0,,       0,,       0,,    2590,,     745,,    1845,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.99 Multidisciplinary/interdisciplinary studies; other",,       0,,       0,,       0,,    2585,,     740,,    1845,
"Location of study compared with province or territory of residence with countries outside Canada","Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data",157,   35235,,   16225,,   19010,,28643015,,13990435,,14652585,
"Location of study compared with province or territory of residence with countries outside Canada","  No postsecondary certificate; diploma or degree",,   12725,,    6225,,    6500,,12815975,, 6354625,, 6461350,
"Location of study compared with province or territory of residence with countries outside Canada","  Postsecondary certificate; diploma or degree",158,   22510,,   10000,,   12510,,15827040,, 7635805,, 8191235,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study inside Canada",,    9560,,    4515,,    5045,,13117190,, 6299305,, 6817890,
"Location of study compared with province or territory of residence with countries outside Canada","      Same as province or territory of residence",,    8830,,    4160,,    4670,,11519215,, 5503640,, 6015575,
"Location of study compared with province or territory of residence with countries outside Canada","      Different than province or territory of residence",,     730,,     355,,     375,, 1597975,,  795655,,  802315,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study outside Canada",159,   12950,,    5485,,    7465,, 2709850,, 1336505,, 1373345,
"Location of study compared with province or territory of residence with countries outside Canada","      United States",160,     470,,     245,,     225,,  349540,,  189995,,  159545,
"Location of study compared with province or territory of residence with countries outside Canada","      Philippines",,    3565,,    1080,,    2485,,  298830,,  109820,,  189020,
"Location of study compared with province or territory of residence with countries outside Canada","      India",,     220,,     105,,     115,,  281415,,  142410,,  138995,
"Location of study compared with province or territory of residence with countries outside Canada","      United Kingdom",161,     260,,     115,,     145,,  232035,,  131050,,  100980,
"Location of study compared with province or territory of residence with countries outside Canada","      China",162,     240,,     120,,     120,,  205375,,   94690,,  110685,
"Location of study compared with province or territory of residence with countries outside Canada","      France",,      45,,      15,,      25,,   88860,,   50400,,   38455,
"Location of study compared with province or territory of residence with countries outside Canada","      Other",,    8150,,    3805,,    4350,, 1253790,,  618135,,  635655,
"Location of study compared with province or territory of residence with countries outside Canada","Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data",157,   22385,,   10425,,   11965,,18931380,, 9268555,, 9662830,
"Location of study compared with province or territory of residence with countries outside Canada","  No postsecondary certificate; diploma or degree",,    5630,,    3075,,    2560,, 6664380,, 3447125,, 3217250,
"Location of study compared with province or territory of residence with countries outside Canada","  Postsecondary certificate; diploma or degree",158,   16755,,    7355,,    9400,,12267005,, 5821430,, 6445575,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study inside Canada",,    7115,,    3325,,    3790,,10134590,, 4807045,, 5327545,
"Location of study compared with province or territory of residence with countries outside Canada","      Same as province or territory of residence",,    6580,,    3060,,    3525,, 8918160,, 4207495,, 4710665,
"Location of study compared with province or territory of residence with countries outside Canada","      Different than province or territory of residence",,     535,,     265,,     265,, 1216425,,  599545,,  616875,
"Location of study compared with province or territory of residence with countries outside Canada","    Location of study outside Canada",159,    9640,,    4030,,    5615,, 2132415,, 1014385,, 1118030,
"Location of study compared with province or territory of residence with countries outside Canada","      United States",160,     335,,     170,,     170,,  254245,,  131955,,  122290,
"Location of study compared with province or territory of residence with countries outside Canada","      Philippines",,    3240,,     970,,    2270,,  263095,,   96025,,  167065,
"Location of study compared with province or territory of residence with countries outside Canada","      India",,     175,,      95,,      80,,  239535,,  117445,,  122090,
"Location of study compared with province or territory of residence with countries outside Canada","      United Kingdom",161,     140,,      55,,      85,,  133655,,   73575,,   60085,
"Location of study compared with province or territory of residence with countries outside Canada","      China",162,     200,,     100,,      95,,  175825,,   79635,,   96190,
"Location of study compared with province or territory of residence with countries outside Canada","      France",,      20,,      10,,      10,,   72920,,   40610,,   32310,
"Location of study compared with province or territory of residence with countries outside Canada","      Other",,    5535,,    2630,,    2910,,  993135,,  475145,,  517990,
"Labour force status","Total - Population aged 15 years and over by Labour force status - 25% sample data",163,   35235,,   16225,,   19010,,28643020,,13990430,,14652585,
"Labour force status","  In the labour force",,   21875,,   10985,,   10885,,18672475,, 9731830,, 8940645,
"Labour force status","    Employed",,   19885,,    9985,,    9900,,17230040,, 8923540,, 8306490,
"Labour force status","    Unemployed",,    1985,,     995,,     990,, 1442435,,  808285,,  634150,
"Labour force status","  Not in the labour force",,   13360,,    5240,,    8120,, 9970545,, 4258605,, 5711945,
"Labour force status","Participation rate",, 62.1,, 67.7,, 57.3,, 65.2,, 69.6,, 61.0,
"Labour force status","Employment rate",, 56.4,, 61.5,, 52.1,, 60.2,, 63.8,, 56.7,
"Labour force status","Unemployment rate",,  9.1,,  9.1,,  9.1,,  7.7,,  8.3,,  7.1,
"Work activity during the reference year","Total population aged 15 years and over by work activity during the reference year - 25% sample data",164,   35235,,   16225,,   19010,,28643020,,13990430,,14652580,
"Work activity during the reference year","  Did not work",165,   13250,,    5290,,    7960,, 9282005,, 3930570,, 5351440,
"Work activity during the reference year","  Worked",,   21985,,   10930,,   11050,,19361010,,10059865,, 9301150,
"Work activity during the reference year","    Worked full year; full time",166,    9830,,    5210,,    4625,, 9626010,, 5402110,, 4223895,
"Work activity during the reference year","    Worked part year and/or part time",167,   12150,,    5725,,    6425,, 9735005,, 4657755,, 5077245,
"Work activity during the reference year","Average weeks worked in reference year",, 41.2,, 41.3,, 41.1,, 42.4,, 42.9,, 42.0,
"Class of worker","Total labour force aged 15 years and over by class of worker - 25% sample data",168,   21875,,   10980,,   10890,,18672470,, 9731825,, 8940640,
"Class of worker","  Class of worker - not applicable",169,     760,,     380,,     385,,  404350,,  197705,,  206640,
"Class of worker","  All classes of workers",170,   21115,,   10610,,   10505,,18268125,, 9534120,, 8734000,
"Class of worker","    Employee",,   17990,,    8620,,    9375,,16073685,, 8158745,, 7914940,
"Class of worker","    Self-employed",171,    3120,,    1990,,    1130,, 2194440,, 1375380,,  819060,
"Occupation - National Occupational Classification (NOC) 2016","Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data",172,   21870,,   10985,,   10890,,18672470,, 9731830,, 8940645,
"Occupation - National Occupational Classification (NOC) 2016","  Occupation - not applicable",169,     760,,     375,,     385,,  404350,,  197710,,  206640,
"Occupation - National Occupational Classification (NOC) 2016","  All occupations",170,   21110,,   10610,,   10505,,18268120,, 9534120,, 8734005,
"Occupation - National Occupational Classification (NOC) 2016","    0 Management occupations",,    1735,,    1060,,     670,, 2013370,, 1251165,,  762205,
"Occupation - National Occupational Classification (NOC) 2016","    1 Business; finance and administration occupations",,    3310,,    1130,,    2175,, 2874305,,  862870,, 2011440,
"Occupation - National Occupational Classification (NOC) 2016","    2 Natural and applied sciences and related occupations",,    1875,,    1460,,     410,, 1273660,,  990560,,  283105,
"Occupation - National Occupational Classification (NOC) 2016","    3 Health occupations",,    1735,,     375,,    1365,, 1245885,,  244730,, 1001155,
"Occupation - National Occupational Classification (NOC) 2016","    4 Occupations in education; law and social; community and government services",,    2755,,     690,,    2065,, 2138445,,  672945,, 1465495,
"Occupation - National Occupational Classification (NOC) 2016","    5 Occupations in art; culture; recreation and sport",,     795,,     315,,     480,,  557275,,  255705,,  301570,
"Occupation - National Occupational Classification (NOC) 2016","    6 Sales and service occupations",,    5185,,    2365,,    2815,, 4265895,, 1843510,, 2422390,
"Occupation - National Occupational Classification (NOC) 2016","    7 Trades; transport and equipment operators and related occupations",,    2345,,    2220,,     125,, 2668875,, 2504290,,  164585,
"Occupation - National Occupational Classification (NOC) 2016","    8 Natural resources; agriculture and related production occupations",,      95,,      85,,      10,,  416135,,  331920,,   84215,
"Occupation - National Occupational Classification (NOC) 2016","    9 Occupations in manufacturing and utilities",,    1295,,     895,,     400,,  814285,,  576435,,  237845,
"Industry - North American Industry Classification System (NAICS) 2012","Total Labour Force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data",173,   21870,,   10985,,   10890,,18672475,, 9731830,, 8940640,
"Industry - North American Industry Classification System (NAICS) 2012","  Industry - NAICS2012 - not applicable",169,     760,,     375,,     385,,  404350,,  197710,,  206640,
"Industry - North American Industry Classification System (NAICS) 2012","  All industry categories",170,   21110,,   10610,,   10505,,18268125,, 9534120,, 8734000,
"Industry - North American Industry Classification System (NAICS) 2012","    11 Agriculture; forestry; fishing and hunting",,      35,,      25,,       0,,  444680,,  310000,,  134675,
"Industry - North American Industry Classification System (NAICS) 2012","    21 Mining; quarrying; and oil and gas extraction",,      40,,      15,,      25,,  271300,,  219880,,   51420,
"Industry - North American Industry Classification System (NAICS) 2012","    22 Utilities",,      85,,      55,,      30,,  136350,,  100135,,   36210,
"Industry - North American Industry Classification System (NAICS) 2012","    23 Construction",,    1320,,    1160,,     165,, 1365010,, 1196550,,  168455,
"Industry - North American Industry Classification System (NAICS) 2012","    31-33 Manufacturing",,    2125,,    1540,,     585,, 1596570,, 1149745,,  446820,
"Industry - North American Industry Classification System (NAICS) 2012","    41 Wholesale trade",,     725,,     450,,     275,,  665685,,  451230,,  214455,
"Industry - North American Industry Classification System (NAICS) 2012","    44-45 Retail trade",,    2325,,    1055,,    1265,, 2110200,,  984090,, 1126115,
"Industry - North American Industry Classification System (NAICS) 2012","    48-49 Transportation and warehousing",,     885,,     675,,     205,,  876050,,  656375,,  219670,
"Industry - North American Industry Classification System (NAICS) 2012","    51 Information and cultural industries",,     470,,     260,,     210,,  420350,,  243650,,  176705,
"Industry - North American Industry Classification System (NAICS) 2012","    52 Finance and insurance",,    1125,,     515,,     600,,  790580,,  327865,,  462715,
"Industry - North American Industry Classification System (NAICS) 2012","    53 Real estate and rental and leasing",,     540,,     300,,     235,,  333305,,  184350,,  148955,
"Industry - North American Industry Classification System (NAICS) 2012","    54 Professional; scientific and technical services",,    2095,,    1200,,     895,, 1335125,,  740520,,  594605,
"Industry - North American Industry Classification System (NAICS) 2012","    55 Management of companies and enterprises",,      45,,      40,,       0,,   28795,,   12795,,   16000,
"Industry - North American Industry Classification System (NAICS) 2012","    56 Administrative and support; waste management and remediation services",,    1285,,     720,,     560,,  802420,,  462825,,  339590,
"Industry - North American Industry Classification System (NAICS) 2012","    61 Educational services",,    1360,,     485,,     875,, 1346585,,  420845,,  925735,
"Industry - North American Industry Classification System (NAICS) 2012","    62 Health care and social assistance",,    2700,,     515,,    2190,, 2138025,,  383755,, 1754270,
"Industry - North American Industry Classification System (NAICS) 2012","    71 Arts; entertainment and recreation",,     450,,     245,,     210,,  379740,,  192875,,  186865,
"Industry - North American Industry Classification System (NAICS) 2012","    72 Accommodation and food services",,    1455,,     570,,     885,, 1283725,,  535210,,  748515,
"Industry - North American Industry Classification System (NAICS) 2012","    81 Other services (except public administration)",,    1485,,     460,,    1025,,  814695,,  371880,,  442815,
"Industry - North American Industry Classification System (NAICS) 2012","    91 Public administration",,     565,,     315,,     250,, 1128945,,  589530,,  539405,
"Place of work status","Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data",174,   19885,,    9985,,    9900,,17230035,, 8923540,, 8306495,
"Place of work status","  Worked at home",,    1355,,     725,,     630,, 1272285,,  639500,,  632785,
"Place of work status","  Worked outside Canada",,     145,,     100,,      45,,   78815,,   54235,,   24580,
"Place of work status","  No fixed workplace address",,    2920,,    1855,,    1070,, 1987260,, 1487445,,  499820,
"Place of work status","  Worked at usual place",,   15465,,    7315,,    8150,,13891675,, 6742360,, 7149315,
"Commuting destination","Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data",,   15465,,    7310,,    8150,,13891680,, 6742365,, 7149315,
"Commuting destination","  Commute within census subdivision (CSD) of residence",,   10430,,    4660,,    5765,, 8102115,, 3723115,, 4379005,
"Commuting destination","  Commute to a different census subdivision (CSD) within census division (CD) of residence",,       0,,       0,,       0,, 2906390,, 1435640,, 1470750,
"Commuting destination","  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence",,    4980,,    2620,,    2365,, 2725205,, 1492170,, 1233030,
"Commuting destination","  Commute to a different province or territory",,      55,,      35,,      25,,  157970,,   91445,,   66525,
"Main mode of commuting","Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data",175,   18380,,    9165,,    9220,,15878940,, 8229810,, 7649135,
"Main mode of commuting","  Car; truck; van - as a driver",,    9020,,    5575,,    3445,,11748095,, 6380120,, 5367975,
"Main mode of commuting","  Car; truck; van - as a passenger",,     960,,     380,,     580,,  868920,,  349855,,  519065,
"Main mode of commuting","  Public transit",,    7565,,    2855,,    4705,, 1968215,,  846735,, 1121485,
"Main mode of commuting","  Walked",,     570,,     185,,     385,,  877985,,  392950,,  485030,
"Main mode of commuting","  Bicycle",,     135,,     110,,      25,,  222130,,  146615,,   75515,
"Main mode of commuting","  Other method",,     140,,      60,,      80,,  193595,,  113525,,   80060,
"Commuting duration","Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data",176,   18385,,    9165,,    9220,,15878945,, 8229810,, 7649130,
"Commuting duration","  Less than 15 minutes",,    1710,,     780,,     935,, 4449920,, 2071365,, 2378555,
"Commuting duration","  15 to 29 minutes",,    4330,,    2175,,    2155,, 5314295,, 2725165,, 2589130,
"Commuting duration","  30 to 44 minutes",,    5360,,    2840,,    2525,, 3228845,, 1782680,, 1446165,
"Commuting duration","  45 to 59 minutes",,    3095,,    1535,,    1560,, 1391060,,  768115,,  622940,
"Commuting duration","  60 minutes and over",,    3885,,    1840,,    2045,, 1494830,,  882485,,  612345,
"Time leaving for work","Total - Time leaving for work for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data",177,   18385,,    9165,,    9220,,15878940,, 8229810,, 7649135,
"Time leaving for work","  Between 5 a.m. and 5:59 a.m.",,     925,,     590,,     335,, 1073680,,  781230,,  292455,
"Time leaving for work","  Between 6 a.m. and 6:59 a.m.",,    2950,,    1680,,    1265,, 2814750,, 1754045,, 1060710,
"Time leaving for work","  Between 7 a.m. and 7:59 a.m.",,    4190,,    1970,,    2225,, 4458835,, 2217210,, 2241620,
"Time leaving for work","  Between 8 a.m. and 8:59 a.m.",,    4365,,    1955,,    2410,, 3349975,, 1408710,, 1941265,
"Time leaving for work","  Between 9 a.m. and 11:59 a.m.",,    2675,,    1180,,    1500,, 1756265,,  752940,, 1003325,
"Time leaving for work","  Between 12 p.m. and 4:59 a.m.",,    3280,,    1795,,    1490,, 2425435,, 1315670,, 1109765,
"Language used most often at work","Total - Language used most often at work for the population in private households aged 15 years and over who worked since January 1; 2015 - 25% sample data",178,   22950,,   11390,,   11565,,19956255,,10342970,, 9613285,
"Language used most often at work","  Single responses",,   22145,,   11030,,   11115,,19365980,,10042855,, 9323130,
"Language used most often at work","    Official languages",,   21210,,   10530,,   10675,,19090545,, 9897470,, 9193075,
"Language used most often at work","      English",,   21150,,   10525,,   10630,,15265335,, 7952010,, 7313320,
"Language used most often at work","      French",,      60,,      10,,      50,, 3825215,, 1945465,, 1879750,
"Language used most often at work","    Non-official languages",,     935,,     495,,     440,,  275430,,  145380,,  130055,
"Language used most often at work","      Aboriginal languages",,       0,,       0,,       0,,   24950,,   12385,,   12565,
"Language used most often at work","        Algonquian languages",,       0,,       0,,       0,,   14440,,    7370,,    7070,
